rules,lift,support,confidence,count
"{위생세제,일반가공식품,청과} => {농산가공}",14.96621469,0.001097092,0.552321177,5104
"{위생세제,채소} => {농산가공}",14.93078329,0.002839455,0.551013598,13210
"{농산가공,우육} => {채소}",14.91618338,0.002991638,0.587381304,13918
"{농산가공,유제품,청과} => {채소}",14.81690663,0.003243126,0.583471905,15088
"{일반가공식품,채소} => {농산가공}",14.81516229,0.004564193,0.546746659,21234
"{농산가공,음료,청과} => {채소}",14.8066141,0.001213808,0.583066598,5647
"{생선,일반가공식품} => {채소}",14.79493616,0.001666057,0.582606735,7751
"{유기농채소,유제품,청과} => {채소}",14.74259613,0.001294413,0.580545647,6022
"{생선,청과} => {채소}",14.72223192,0.002742514,0.57974373,12759
"{위생세제,유제품,청과} => {농산가공}",14.71573392,0.001424027,0.543077301,6625
"{유제품,채소} => {농산가공}",14.64001074,0.006587493,0.540282773,30647
"{유기농채소,유제품,청과} => {농산가공}",14.63908809,0.001204565,0.540248723,5604
"{음료,채소} => {농산가공}",14.60845813,0.002415794,0.539118338,11239
"{생선,일반가공식품} => {농산가공}",14.59536106,0.001540313,0.538634997,7166
"{돈육,청과} => {채소}",14.57298756,0.001618984,0.573866667,7532
"{즉석반찬,채소} => {농산가공}",14.42894077,0.002189239,0.532493334,10185
"{수입식품,유제품,청과} => {농산가공}",14.40593319,0.001096017,0.53164425,5099
"{위생세제,유제품,일반가공식품} => {농산가공}",14.39435632,0.001514304,0.531217011,7045
"{생선,유기농채소} => {채소}",14.38263672,0.001344496,0.56637088,6255
"{우육,청과} => {채소}",14.30411567,0.002487371,0.563278816,11572
"{우육,일반가공식품} => {채소}",14.29538556,0.001668852,0.562935035,7764
"{농산가공,돈육} => {채소}",14.27655253,0.002069299,0.562193413,9627
"{유기농채소,채소,청과} => {농산가공}",14.21746564,0.001441222,0.524688943,6705
"{농산가공,청과} => {채소}",14.19997001,0.006308491,0.559177685,29349
"{돈육,일반가공식품} => {채소}",14.14809459,0.00128904,0.557134894,5997
"{유제품,음료,청과} => {농산가공}",14.12369535,0.001335253,0.521228394,6212
"{농산가공,유기농채소} => {채소}",14.08233738,0.003055047,0.554545455,14213
"{농산가공,음료,청과} => {유제품}",14.03517987,0.001335253,0.641404233,6212
"{생선,유제품} => {농산가공}",14.01878082,0.002296928,0.517356572,10686
"{돈육,일반가공식품} => {농산가공}",13.95880167,0.001191883,0.515143069,5545
"{우육,일반가공식품} => {농산가공}",13.95123131,0.001526341,0.514863689,7101
"{일반가공식품,즉석반찬} => {농산가공}",13.89942037,0.001315263,0.51295163,6119
"{농산가공,위생세제,일반가공식품} => {채소}",13.89036697,0.001375019,0.546985891,6397
"{생선,채소} => {농산가공}",13.88308978,0.003317498,0.512348958,15434
"{돈육,유제품} => {농산가공}",13.86775023,0.001568471,0.511782859,7297
"{농산가공,음료,일반가공식품} => {유제품}",13.85711567,0.001294628,0.633266744,6023
"{음료,일반가공식품,청과} => {유제품}",13.84728525,0.00106356,0.632817496,4948
"{농산가공,유제품,즉석반찬} => {채소}",13.8441108,0.00110139,0.545164379,5124
"{수입식품,채소} => {농산가공}",13.81802825,0.002313909,0.509947892,10765
"{생선,위생세제} => {채소}",13.78325863,0.001010683,0.542768094,4702
"{우육,유기농채소} => {채소}",13.77389696,0.001339122,0.542399443,6230
"{생선,우육} => {채소}",13.76891216,0.001466371,0.542203147,6822
"{유제품,일반가공식품,청과} => {채소}",13.74470943,0.001989768,0.541250073,9257
"{농산가공,유제품,일반가공식품} => {채소}",13.71122558,0.002508221,0.53993152,11669
"{수입식품,유제품,일반가공식품} => {농산가공}",13.70350426,0.001215957,0.505721438,5657
"{농산가공,수입식품,일반가공식품} => {채소}",13.69657776,0.001128259,0.539354706,5249
"{우육,채소} => {농산가공}",13.69011301,0.002991638,0.50522724,13918
"{유기농채소,일반가공식품} => {채소}",13.68963555,0.001682608,0.53908133,7828
"{위생세제,일반가공식품,청과} => {채소}",13.66861168,0.001069148,0.538253436,4974
"{돈육,채소} => {농산가공}",13.65770978,0.002069299,0.504031414,9627
"{유제품,음료,일반가공식품} => {농산가공}",13.65502671,0.001294628,0.503932396,6023
"{청과,햄} => {채소}",13.62880908,0.001229499,0.536686057,5720
"{농산가공,음료,일반가공식품} => {채소}",13.62768477,0.001097092,0.536641783,5104
